"","id","off_ball","on_ball","diff","Name","Team"
"1",2544,115.805348815076,159.569829636334,-43.7644808212584,"LeBron James","Cleveland Cavaliers"
"2",202684,47.1295013615024,167.176895535383,-120.047394173881,"Tristan Thompson","Cleveland Cavaliers"
"3",2747,100.949138850188,137.646315538992,-36.6971766888034,"JR Smith","Cleveland Cavaliers"
"4",202681,92.1482380845656,271.509607811761,-179.361369727195,"Kyrie Irving","Cleveland Cavaliers"
"5",201567,84.724265168529,103.415803162391,-18.6915379938615,"Kevin Love","Cleveland Cavaliers"
"6",202699,94.7952388005848,100.529101333141,-5.7338625325557,"Tobias Harris","Detroit Pistons"
"7",202704,132.211501739131,347.430178339694,-215.218676600562,"Reggie Jackson","Detroit Pistons"
"8",203083,117.97427903751,235.319463195522,-117.345184158012,"Andre Drummond","Detroit Pistons"
"9",203484,117.510574038393,368.88654106576,-251.375967027367,"Kentavious Caldwell-Pope","Detroit Pistons"
"10",202694,126.747087399742,184.043945402266,-57.2968580025236,"Marcus Morris","Detroit Pistons"
"11",1626169,77.7486017925931,299.36128570256,-221.612683909967,"Stanley Johnson","Detroit Pistons"
"12",203521,88.2306384299777,163.375470762712,-75.1448323327348,"Matthew Dellavedova","Cleveland Cavaliers"
"13",2581,196.807580905607,284.964349887564,-88.1567689819569,"Steve Blake","Detroit Pistons"
"14",202697,80.4072417339297,162.18285314535,-81.7756114114204,"Iman Shumpert","Cleveland Cavaliers"
"15",2210,97.2760846228705,149.538635771335,-52.2625511484646,"Richard Jefferson","Cleveland Cavaliers"
"16",203382,209.636445499479,167.487966352166,42.1484791473137,"Aron Baynes","Detroit Pistons"
"17",203493,118.975204962277,286.928472939826,-167.953267977549,"Reggie Bullock","Detroit Pistons"
"18",202329,102.258299380652,178.046874036734,-75.7885746560818,"Al-Farouq Aminu","Portland Trail Blazers"
"19",203468,88.4448718149695,147.992102041606,-59.5472302266361,"CJ McCollum","Portland Trail Blazers"
"20",203486,98.5139876960157,142.358978329987,-43.8449906339709,"Mason Plumlee","Portland Trail Blazers"
"21",203090,87.0538899250554,311.260583738314,-224.206693813258,"Maurice Harkless","Portland Trail Blazers"
"22",203081,95.3798720636963,296.773621414992,-201.393749351295,"Damian Lillard","Portland Trail Blazers"
"23",200755,78.7946237085128,90.7838291070578,-11.989205398545,"JJ Redick","Los Angeles Clippers"
"24",201933,85.4016147781504,119.37500765435,-33.9733928761995,"Blake Griffin","Los Angeles Clippers"
"25",201601,77.6686277383159,123.327497660332,-45.6588699220157,"Luc Mbah a Moute","Los Angeles Clippers"
"26",201599,75.4583902257214,159.770923417612,-84.3125331918903,"DeAndre Jordan","Los Angeles Clippers"
"27",101108,76.1058320283885,209.402941805168,-133.297109776779,"Chris Paul","Los Angeles Clippers"
"28",203459,113.997276806896,247.742907518097,-133.745630711202,"Allen Crabbe","Portland Trail Blazers"
"29",2037,75.1212102987421,103.549251707828,-28.4280414090858,"Jamal Crawford","Los Angeles Clippers"
"30",201945,102.227033840325,90.0289162822452,12.1981175580801,"Gerald Henderson","Portland Trail Blazers"
"31",202325,76.1557723330632,102.745401144749,-26.589628811686,"Wesley Johnson","Los Angeles Clippers"
"32",202334,93.7036049251031,235.946512539631,-142.242907614528,"Ed Davis","Portland Trail Blazers"
"33",201145,77.9748643511044,122.202752744119,-44.2278883930145,"Jeff Green","Los Angeles Clippers"
"34",203943,106.928930287943,258.232496363095,-151.303566075153,"Noah Vonleh","Portland Trail Blazers"
"35",203085,88.2284105236316,201.846476340757,-113.618065817125,"Austin Rivers","Los Angeles Clippers"
"36",202332,60.7277608856552,129.267157334832,-68.5393964491765,"Cole Aldrich","Los Angeles Clippers"
"37",1718,98.0788402471372,90.9559069774769,7.12293326966022,"Paul Pierce","Los Angeles Clippers"
"38",2549,74.9278079150719,159.826712952165,-84.8989050370932,"Chris Kaman","Portland Trail Blazers"
"39",1626192,176.789265263893,130.197740007542,46.5915252563503,"Pat Connaughton","Portland Trail Blazers"
"40",203148,155.095607722324,402.11928468221,-247.023676959886,"Brian Roberts","Portland Trail Blazers"
"41",1626242,97.0951399878513,121.338713713402,-24.243573725551,"Luis Montero","Portland Trail Blazers"
"42",203143,72.7313886143512,184.427834504566,-111.696445890215,"Pablo Prigioni","Los Angeles Clippers"
"43",201587,93.5101162296901,129.629347094593,-36.1192308649024,"Nicolas Batum","Charlotte Hornets"
"44",203469,57.0035546834993,136.973514490736,-79.9699598072363,"Cody Zeller","Charlotte Hornets"
"45",201584,129.478007906928,168.193966862292,-38.7159589553637,"Courtney Lee","Charlotte Hornets"
"46",202689,134.090194749173,316.940639103915,-182.850444354742,"Kemba Walker","Charlotte Hornets"
"47",101107,107.203391396596,194.060712780229,-86.8573213836331,"Marvin Williams","Charlotte Hornets"
"48",2736,82.5246847920138,242.889317011365,-160.364632219351,"Luol Deng","Miami Heat"
"49",202355,48.4467612166993,104.90244404162,-56.4556828249207,"Hassan Whiteside","Miami Heat"
"50",2548,112.055729885469,187.436433124625,-75.3807032391561,"Dwyane Wade","Miami Heat"
"51",2207,79.6442851587113,134.434840334794,-54.7905551760828,"Joe Johnson","Miami Heat"
"52",201609,94.7291379609592,183.184901892055,-88.4557639310955,"Goran Dragic","Miami Heat"
"53",1626159,78.7785022090716,109.893274603734,-31.1147723946623,"Justise Winslow","Miami Heat"
"54",1626196,88.409213707551,116.948605857679,-28.5393921501281,"Josh Richardson","Miami Heat"
"55",2744,61.6876232699524,137.672734590052,-75.9851113200994,"Al Jefferson","Charlotte Hornets"
